"Step","optimizer_name: nadam - train_loss","optimizer_name: nadam - train_loss__MIN","optimizer_name: nadam - train_loss__MAX","optimizer_name: adamw - train_loss","optimizer_name: adamw - train_loss__MIN","optimizer_name: adamw - train_loss__MAX","optimizer_name: adam - train_loss","optimizer_name: adam - train_loss__MIN","optimizer_name: adam - train_loss__MAX","optimizer_name: sgdm - train_loss","optimizer_name: sgdm - train_loss__MIN","optimizer_name: sgdm - train_loss__MAX","optimizer_name: sgd - train_loss","optimizer_name: sgd - train_loss__MIN","optimizer_name: sgd - train_loss__MAX"
"1749","0.07362429425120354","0.06423519551753998","0.08589354902505875","0.07473400421440601","0.06305722147226334","0.09022699296474457","0.07553783431649208","0.0636395514011383","0.09056515246629715","0.18387632444500923","0.1201513260602951","0.2479504495859146","0.16913923248648643","0.1561802625656128","0.18989473581314087"
"1750","0.07276980392634869","0.05706553906202316","0.08645939826965332","0.07450165506452322","0.05802520737051964","0.08807528018951416","0.07494227960705757","0.05873250961303711","0.08957874774932861","0.17664774507284164","0.12676505744457245","0.23249465227127075","0.1689019463956356","0.15246576070785522","0.185310959815979"
"1751","0.07003739103674889","0.06373094022274017","0.07844328880310059","0.07201533205807209","0.0656297504901886","0.0805133730173111","0.07348693534731865","0.06702124327421188","0.08178255707025528","0.17871232703328133","0.11135487258434296","0.24020883440971375","0.1725359559059143","0.15634839236736298","0.19689494371414185"
"1752","0.0763094425201416","0.06623426079750061","0.0799974799156189","0.07905969768762589","0.06778393685817719","0.08393539488315582","0.07959397882223129","0.06974451243877411","0.08445370197296143","0.19353677704930305","0.1110990047454834","0.2764560878276825","0.1679573431611061","0.15350285172462463","0.1789558380842209"
"1753","0.07874239981174469","0.07368303090333939","0.08346505463123322","0.07853302545845509","0.07419389486312866","0.08411630243062973","0.07846171036362648","0.07553169876337051","0.08338622003793716","0.1987786442041397","0.12560245394706726","0.27252742648124695","0.18239015713334084","0.17829042673110962","0.18637822568416595"
"1754","0.08035198599100113","0.0784330666065216","0.08168932795524597","0.08140719309449196","0.07905584573745728","0.08315039426088333","0.0818480346351862","0.08083187788724899","0.08401717245578766","0.19566146284341812","0.12343426048755646","0.2646044194698334","0.1847802847623825","0.17817023396492004","0.1995762288570404"
"1755","0.07717225886881351","0.06884077191352844","0.08712565153837204","0.0793265849351883","0.06721947342157364","0.09269984066486359","0.07901839911937714","0.06842972338199615","0.09178271889686584","0.18653311766684055","0.11977020651102066","0.2760920822620392","0.16921838745474815","0.16252869367599487","0.17971786856651306"
"1756","0.07782512716948986","0.06654467433691025","0.09526694566011429","0.07872005179524422","0.06829328835010529","0.09558390825986862","0.07870463468134403","0.06884093582630157","0.09459155797958374","0.18376455642282963","0.10630466789007187","0.24570035934448242","0.16907737031579018","0.15034699440002441","0.20614849030971527"
"1757","0.0738981980830431","0.06850893050432205","0.08664542436599731","0.0763167217373848","0.07112759351730347","0.0880640521645546","0.0763072557747364","0.07134181261062622","0.0887383222579956","0.18625914677977562","0.11370379477739334","0.2794439494609833","0.17427946999669075","0.16258931159973145","0.18907614052295685"
"1758","0.07191766425967216","0.06438034772872925","0.07679262012243271","0.07262902893126011","0.06657081097364426","0.07745295017957687","0.07302574627101421","0.06625950336456299","0.07779433578252792","0.1850641816854477","0.1225535124540329","0.248927503824234","0.16186001896858215","0.1476822942495346","0.1747603714466095"
"1759","0.07104037329554558","0.06391145288944244","0.07601270079612732","0.07267825864255428","0.0652361661195755","0.07929124683141708","0.07312897592782974","0.06380745023488998","0.07945507764816284","0.18433938920497894","0.10723590850830078","0.2590728998184204","0.17567379772663116","0.15715157985687256","0.19147157669067383"
"1760","0.07271005492657423","0.06049161031842232","0.07984593510627747","0.07490195520222187","0.06275148689746857","0.08377226442098618","0.07413223758339882","0.0616590678691864","0.08248473703861237","0.17956086993217468","0.11881180107593536","0.2546689510345459","0.16184376180171967","0.14654482901096344","0.1740812510251999"
"1761","0.07237585633993149","0.06531547009944916","0.07799305766820908","0.07365503162145615","0.06872010231018066","0.07894429564476013","0.07343370839953423","0.06841859966516495","0.07954344898462296","0.1849764660000801","0.10764041543006897","0.26324963569641113","0.16467643901705742","0.1585536003112793","0.17163781821727753"
"1762","0.07037316355854273","0.054958049207925797","0.08447138965129852","0.07237287517637014","0.05660433694720268","0.08707679063081741","0.07324225269258022","0.05693698674440384","0.08807090669870377","0.17455944791436195","0.12722960114479065","0.22558560967445374","0.16925979405641556","0.1546379029750824","0.18320512771606445"
"1763","0.07900439202785492","0.06761586666107178","0.09284187853336334","0.08078351244330406","0.07007818669080734","0.09203079342842102","0.08067681267857552","0.06670187413692474","0.09429233521223068","0.18968631885945797","0.11252983659505844","0.2673216760158539","0.17098107561469078","0.15679118037223816","0.1880142092704773"
"1764","0.0727878101170063","0.06570649147033691","0.07975122332572937","0.07351735420525074","0.06635509431362152","0.08174870908260345","0.07371766306459904","0.06538866460323334","0.08344434201717377","0.1845173928886652","0.10389210283756256","0.27020126581192017","0.1638074927031994","0.15016385912895203","0.17726588249206543"
"1765","0.07739467360079288","0.07040639221668243","0.09149323403835297","0.07980662398040295","0.07219717651605606","0.09155891835689545","0.07929472252726555","0.07282163947820663","0.09132812917232513","0.1893309410661459","0.12258010357618332","0.2526026964187622","0.16976401209831238","0.15362787246704102","0.18370592594146729"
"1766","0.06992991175502539","0.05528853461146355","0.08080718666315079","0.07122673280537128","0.05730652064085007","0.08195549994707108","0.07144979014992714","0.05607665330171585","0.08231976628303528","0.18406054005026817","0.09924224019050598","0.25972917675971985","0.16419070959091187","0.14308178424835205","0.17186202108860016"
"1767","0.07721369061619043","0.05721128359436989","0.08866114914417267","0.07900494895875454","0.056882843375205994","0.0907173603773117","0.0799472238868475","0.05679554492235184","0.0923757553100586","0.18485451862215996","0.09528142213821411","0.26585647463798523","0.16976766288280487","0.13756795227527618","0.187135711312294"
"1768","0.07185769826173782","0.06865353137254715","0.07680105417966843","0.07359625585377216","0.06941668689250946","0.08069802820682526","0.07431635819375515","0.0700078085064888","0.08113659918308258","0.18013407289981842","0.11634267866611481","0.24571317434310913","0.16822319850325584","0.15964369475841522","0.17336612939834595"
"1769","0.06979027017951012","0.06339532881975174","0.0775022953748703","0.07168153114616871","0.0626417025923729","0.08031533658504486","0.07205456122756004","0.06345702707767487","0.08052290230989456","0.17036017589271069","0.11247377842664719","0.24591276049613953","0.16387663036584854","0.15217576920986176","0.17397788166999817"
"1770","0.07206927798688412","0.06945202499628067","0.07770679891109467","0.07463506609201431","0.0710846334695816","0.08077596127986908","0.0758479256182909","0.07271336019039154","0.08016034960746765","0.18107961490750313","0.11081112176179886","0.25018739700317383","0.16140474006533623","0.15523424744606018","0.1659775972366333"
"1771","0.08685224130749702","0.07237903773784637","0.10042878985404968","0.09026229381561279","0.07631216943264008","0.10478247702121735","0.08980489708483219","0.07459697127342224","0.10544241964817047","0.20692280307412148","0.12031972408294678","0.28290343284606934","0.19168980047106743","0.17799942195415497","0.22518622875213623"
"1772","0.07343464158475399","0.0687185525894165","0.08137460052967072","0.07511225715279579","0.0705522745847702","0.08305743336677551","0.07600238360464573","0.07064877450466156","0.0846085399389267","0.19090435281395912","0.1207590401172638","0.2601735293865204","0.16997021064162254","0.16570456326007843","0.17681321501731873"
"1773","0.07806623727083206","0.0733182430267334","0.08305956423282623","0.07989676669239998","0.07363676279783249","0.08575184643268585","0.07969044707715511","0.0735190212726593","0.08471282571554184","0.1981849279254675","0.11967933923006058","0.2965810298919678","0.17718320712447166","0.17069149017333984","0.18564319610595703"
"1774","0.07377129979431629","0.07230430841445923","0.07596878707408905","0.0772140845656395","0.07416114211082458","0.08090820908546448","0.07621211372315884","0.07351037859916687","0.08007226139307022","0.1840073335915804","0.11989101767539978","0.25327253341674805","0.16765433549880981","0.1634087860584259","0.170332133769989"
"1775","0.06831753998994827","0.06440728902816772","0.07516533881425858","0.07017326913774014","0.06476650387048721","0.07899405807256699","0.07129896245896816","0.06551223993301392","0.07977835834026337","0.1793802883476019","0.10676465928554535","0.25340673327445984","0.16371874511241913","0.1544821858406067","0.17694436013698578"
"1776","0.07225409150123596","0.0694073960185051","0.07731230556964874","0.0750022791326046","0.07196740806102753","0.08102509379386902","0.07485654763877392","0.07165101170539856","0.07925441861152649","0.1813738215714693","0.11357998847961426","0.2593074142932892","0.1666194647550583","0.16009913384914398","0.17241878807544708"
"1777","0.074451994150877","0.06552092730998993","0.08788904547691345","0.07495664432644844","0.06583475321531296","0.08802175521850586","0.07509442791342735","0.06605039536952972","0.08704087138175964","0.18261692114174366","0.11136538535356522","0.24953192472457886","0.17544863000512123","0.15101203322410583","0.20821961760520935"
"1778","0.08609328418970108","0.07765641063451767","0.09142311662435532","0.09045283868908882","0.08338269591331482","0.09545619040727615","0.08811517059803009","0.08019860088825226","0.09248197078704834","0.20650683343410492","0.13433405756950378","0.29973095655441284","0.19626666232943535","0.1796329766511917","0.21220463514328003"
"1779","0.07079514488577843","0.0653158575296402","0.07524871826171875","0.07361163571476936","0.06652022153139114","0.07887767255306244","0.07520760595798492","0.06906135380268097","0.07984238117933273","0.189152043312788","0.10836036503314972","0.2731883227825165","0.16886229813098907","0.1558757722377777","0.18390008807182312"
"1780","0.07939075119793415","0.07071958482265472","0.08277074992656708","0.08124496601521969","0.07431451976299286","0.08387748152017593","0.081560043618083","0.07448653876781464","0.08572474867105484","0.19942506775259972","0.12015317380428314","0.27328309416770935","0.18455969914793968","0.16978687047958374","0.1968427300453186"
"1781","0.07266552187502384","0.07055855542421341","0.07639217376708984","0.07507652789354324","0.0719929188489914","0.07950892299413681","0.07603351026773453","0.07297539710998535","0.08010081201791763","0.19189945608377457","0.11813922226428986","0.27290529012680054","0.17172560095787048","0.16609597206115723","0.18143108487129211"
"1782","0.07766161859035492","0.06470783054828644","0.08332382887601852","0.07925349287688732","0.06646458804607391","0.08516550064086914","0.08095031417906284","0.06805732846260071","0.08636833727359772","0.18200523406267166","0.12547676265239716","0.24583306908607483","0.1643654704093933","0.14283454418182373","0.17417633533477783"
"1783","0.07329490594565868","0.07089301198720932","0.0795048251748085","0.07551119662821293","0.0728888288140297","0.08129939436912537","0.07531682588160038","0.07171273231506348","0.08218440413475037","0.1784263513982296","0.11066694557666779","0.27037784457206726","0.16329244151711464","0.1547834575176239","0.18157246708869934"
"1784","0.0821822714060545","0.07099417597055435","0.09028593450784683","0.0845573004335165","0.07567182928323746","0.09344999492168427","0.0854001697152853","0.07607628405094147","0.09727869182825089","0.19089873507618904","0.11493322253227234","0.26229211688041687","0.1757190003991127","0.1669352650642395","0.18898844718933105"
